                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 2.0083,                 1.8021,                 2.2466,                0.60549,                0.43875,                0.50661,                0.21006,                  2.117,                 2.0138,                 2.3403,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.9825,                 1.8307,                 2.2222,                0.58607,                0.46737,                0.52946,                0.21693,                 2.0696,                 1.9378,                 2.2916,             0.00028308,             0.00028308,             0.00028308
                     83,                 2.0158,                 1.8682,                 2.2223,                0.64766,                0.47737,                0.54671,                0.23879,                 2.0561,                 1.8888,                 2.2687,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.9918,                 1.8743,                 2.2103,                0.60317,                0.50997,                0.55174,                0.24039,                 2.0608,                 1.8703,                 2.2696,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.9388,                 1.7299,                 2.1589,                0.58816,                0.50142,                0.54866,                0.24345,                 2.0409,                 1.8694,                 2.2561,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.9029,                 1.7459,                 2.1631,                0.60662,                0.46413,                0.53129,                0.25056,                 1.9965,                 1.8531,                 2.2187,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.9208,                 1.7395,                   2.15,                0.57745,                0.51046,                0.55946,                0.25892,                 1.9837,                 1.8237,                 2.2123,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.9233,                 1.7183,                 2.1594,                0.58605,                0.52688,                0.57652,                0.26596,                 1.9778,                 1.8034,                 2.2152,              0.0001982,              0.0001982,              0.0001982
                     89,                  1.902,                 1.7173,                 2.1548,                0.59304,                0.52388,                0.56618,                0.25828,                 1.9737,                 1.7981,                 2.2151,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.9189,                  1.761,                 2.1759,                0.63449,                0.54714,                0.56399,                0.25432,                 1.9792,                 1.7982,                 2.2146,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.8247,                 1.8422,                 2.1034,                0.50457,                0.56507,                0.52378,                0.23094,                 1.9873,                  1.868,                 2.2178,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.7963,                 1.7508,                 2.0908,                0.47234,                0.52946,                0.47405,                 0.2128,                 2.0091,                 1.9375,                  2.228,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.7979,                 1.7709,                  2.075,                0.41801,                0.53741,                0.47017,                0.20973,                 2.0119,                 1.9407,                  2.226,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.7874,                 1.6852,                 2.0618,                0.49493,                0.50214,                0.49178,                0.21911,                 2.0053,                 1.8886,                 2.2055,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.8108,                 1.6773,                 2.0877,                0.54138,                0.50056,                0.54125,                0.24073,                 1.9906,                 1.8276,                 2.1971,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                   1.73,                 1.6063,                 2.0592,                0.61357,                0.53316,                0.56927,                0.25292,                 1.9864,                 1.7831,                 2.1922,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.7692,                 1.6421,                 2.0294,                0.64832,                0.57132,                0.59078,                0.25635,                 1.9737,                 1.7689,                  2.183,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.7875,                 1.6731,                 2.1069,                0.63548,                0.56438,                0.59444,                0.26457,                  1.948,                 1.7588,                 2.1666,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.7293,                 1.6532,                 2.0557,                0.59942,                0.58515,                0.59911,                0.27162,                 1.9268,                 1.7563,                 2.1557,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.6919,                  1.597,                 2.0212,                0.62163,                0.59885,                 0.6028,                0.27157,                 1.9198,                 1.7549,                 2.1531,             2.8437e-05,             2.8437e-05,             2.8437e-05
