route_number,start,destination
315B,Kempegowda bus stand (KBS) or Majestic,A Narayanapura, KG road, Richmond road
212D, Kempegowda bus stand (KBS) or Majestic,	 Agara, Banashankari, Sarakki, Konanankunte, 
359A, Kempegowda bus stand (KBS) or Majestic,	Adigondanahalli, Bommanahalli
108B	, Kempegowda bus stand (KBS) or Majestic,	Ganga Nagar, KG road, Tel exchange, Carmel college
59D	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli
89B	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli
87D	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli
263G	, Kempegowda bus stand (KBS) or Majestic,	Gangondanahalli, Central, Malleshwaram
89B	, Kempegowda bus stand (KBS) or Majestic,	Geleyarabalaga, Nandini Talkies, Rajajinagar ESI
250S	, Kempegowda bus stand (KBS) or Majestic,	Geleyarabalaga, Central, Malleshwaram
243F	, Kempegowda bus stand (KBS) or Majestic,	Gidadakonahalli, Magadi
365N	, Kempegowda bus stand (KBS) or Majestic,	Giddenahalli, KG road, Mission road, KH road
36B	, Kempegowda bus stand (KBS) or Majestic,	Giri nagar 2nd Stage, Giri Nagar
36E	, Kempegowda bus stand (KBS) or Majestic,	Giri Nagar circle, Muneshwara Blk
277	, Kempegowda bus stand (KBS) or Majestic,	GKVK, Anandrao circle, Shivananda, Bellary road
61F	, Kempegowda bus stand (KBS) or Majestic,	GWK layout, Vijata Nagar, Rajajinagar 6th Block
80C	, Kempegowda bus stand (KBS) or Majestic,	Goraguntepalya, Mahalakshmi layout
235C	, Kempegowda bus stand (KBS) or Majestic,	Government press, University, Mudalapalya
327	, Kempegowda bus stand (KBS) or Majestic,	Gunjur, KG road, Richmond road, Mayohall
241J	, Kempegowda bus stand (KBS) or Majestic,	Gollarahatti, Magadi road, Dasarahalli
304K	, Kempegowda bus stand (KBS) or Majestic,	Garudachar Palya, Tin factory
226A	, Kempegowda bus stand (KBS) or Majestic,	Hampapura, Royan Circle, Mysore road
351J	, Kempegowda bus stand (KBS) or Majestic,	Handenahalli, KG road, JC road, Lalbagh road
360J	, Kempegowda bus stand (KBS) or Majestic,	Handenahalli, KG road, JC road, Lalbagh road
365A	, Kempegowda bus stand (KBS) or Majestic,	Haragadde, KG road, Mission road, KH road, Dairy circle
341E	, Kempegowda bus stand (KBS) or Majestic,	Haralur, Lalbagh road, labagh main gate
304H	, Kempegowda bus stand (KBS) or Majestic,	Horahalli, Richmond road, Mayohall
325A	, Kempegowda bus stand (KBS) or Majestic,	Horahalli, Richmond road, Mayohall
349J	, Kempegowda bus stand (KBS) or Majestic,	Horahalli, JC road, lalbagh main gate
415A	, Kempegowda bus stand (KBS) or Majestic,	HBR layout 2nd stage, KG road, Telephone exchange
296T,B	, Kempegowda bus stand (KBS) or Majestic,	HBR layout 1st Block, KG road
356E	, Kempegowda bus stand (KBS) or Majestic,	Heelalige, KG road, JC road, lalbagh road, Dairy
352A	, Kempegowda bus stand (KBS) or Majestic,	Henngra, KG road, JC road, lalbagh road, Dairy
253J	, Kempegowda bus stand (KBS) or Majestic,	Hesaraghatta, Central, Malleshwaram, Tata Institute
248J	, Kempegowda bus stand (KBS) or Majestic,	Hesaraghatta Vinayaka Nagar
296J	, Kempegowda bus stand (KBS) or Majestic,	HBR 1st stage, Indian express
369G	, Kempegowda bus stand (KBS) or Majestic,	Hammadevanahalli
355C	, Kempegowda bus stand (KBS) or Majestic,	Hebbagodi, Nimhans, Madivala
304B	, Kempegowda bus stand (KBS) or Majestic,	Hoodi, Richmond road, Mayohall, Ulsorr, Mg road
305F	, Kempegowda bus stand (KBS) or Majestic,	Hoodi, Richmond road, Mayohall, Ulsorr, Mg road
303D	, Kempegowda bus stand (KBS) or Majestic,	Horamavu road, NR road, KG road
43, C, E	, Kempegowda bus stand (KBS) or Majestic,	Hosakerehalli, Sita circle, Hanumanth Nagar
43B	, Kempegowda bus stand (KBS) or Majestic,	Hosakerehalli, Hosakerehalli Cross, Sita circle
317A	, Kempegowda bus stand (KBS) or Majestic,	Hosakote, Richmond road, Mayohall
348G	, Kempegowda bus stand (KBS) or Majestic,	Hosapalya, JC road, Lalbagh road
315Y	, Kempegowda bus stand (KBS) or Majestic,	Hoysala Nagar, KG road, Richmond road
340A	, Kempegowda bus stand (KBS) or Majestic,	HSR layout sector -2, KG road, lalbagh road
348J	, Kempegowda bus stand (KBS) or Majestic,	HSR Lyt BDA Complex, KG road
345A	, Kempegowda bus stand (KBS) or Majestic,	Hulimangala, KG road, Jc road, lalbagh road
369C	, Kempegowda bus stand (KBS) or Majestic,	Hulimavhu, KG road, Mission road, KH road
343A	, Kempegowda bus stand (KBS) or Majestic,	Hullahalli, KG road, JC road, lalbagh road
221F	, Kempegowda bus stand (KBS) or Majestic,	Hunasemarada palya, KG road, NR road
255D	, Kempegowda bus stand (KBS) or Majestic,	Huskur Central, Malleshwaram, Tata Institute
349C	, Kempegowda bus stand (KBS) or Majestic,	Huskur, Kg road, JC road, Lalbagh road, Dairy
250H	, Kempegowda bus stand (KBS) or Majestic,	IAF Chinmai hills, central
136	, Kempegowda bus stand (KBS) or Majestic,	Indiranagar ESI, KG road
78A	, Kempegowda bus stand (KBS) or Majestic,	ISKON, Rajajinagar 1st Block, Rajajinagar ESI, Ram Mandir
210A	, Kempegowda bus stand (KBS) or Majestic,	ISRO lyt, KG road, NR road, HB Samaja, MMI
275C	, Kempegowda bus stand (KBS) or Majestic,	ISRO quarters, Central malleshwaram
300C,H	, Kempegowda bus stand (KBS) or Majestic,	ITI Colony, KG road, Vidhana Soudha
304A	, Kempegowda bus stand (KBS) or Majestic,	ITPL, MG road, KR Puram Tin Factory
244F	, Kempegowda bus stand (KBS) or Majestic,	ITI lyt, Magadi road, Kamakshipalya
45D	, Kempegowda bus stand (KBS) or Majestic,	Ittamadu AGS lyt, Ittamadu
333A	, Kempegowda bus stand (KBS) or Majestic,	Jagadesh Nagar, Richmond road, HAL
56	, Kempegowda bus stand (KBS) or Majestic,	Jagajeevanram Nagar, JJ Nagar
317L	, Kempegowda bus stand (KBS) or Majestic,	Jangamakote, Kg road, Richmond road, Mayohall
80F	, Kempegowda bus stand (KBS) or Majestic,	Jai Bhuvneshwari nagar, RK nagar
80B,D	, Kempegowda bus stand (KBS) or Majestic,	Jai Maruthi Nagar
168E	, Kempegowda bus stand (KBS) or Majestic,	Jai Bheema Nagar, Tavarekere, Dairy
271D	, Kempegowda bus stand (KBS) or Majestic,	Jalahalli, Central, Malleshwaram, Tata Institute
273C,F	, Kempegowda bus stand (KBS) or Majestic,	Jalahalli Cross, Central, Malleshwaram
271	, Kempegowda bus stand (KBS) or Majestic,	Jalahalli East, DRDO 2nd phase
215H	, Kempegowda bus stand (KBS) or Majestic,	Jambusavari Dinne, lalbagh
245G	, Kempegowda bus stand (KBS) or Majestic,	Janapriya Township, Magadi road
18	, Kempegowda bus stand (KBS) or Majestic,	Jayanagar 9th Block, 18th main, Jayanagar 3rd block
22	, Kempegowda bus stand (KBS) or Majestic,	Jayanagar LIC Colony, Byrasandra
303A	, Kempegowda bus stand (KBS) or Majestic,	Jayanthi Nagar, Vidhana Soudha, GPO
126	, Kempegowda bus stand (KBS) or Majestic,	Jeevanahalli, Coles Park
138, D	, Kempegowda bus stand (KBS) or Majestic,	Jeevanbima Nagar, Ulsoor, Mg road
15H	, Kempegowda bus stand (KBS) or Majestic,	JHBCS lyt, JHBCS cross
359A	, Kempegowda bus stand (KBS) or Majestic,	Jigala, JC road, Lalbagh road, Lalbagh main gate
365J	, Kempegowda bus stand (KBS) or Majestic,	Jigani, KG road, Mission road, KH road,
